,WB_ID,common_name,transcript,status,description,baseMean,log2FoldChange,padj,N2_CTR_1,N2_CTR_3,N2_CTR_4,N2_HS_1,N2_HS_3,N2_HS_4,real_description,alt_description
0,WBGene00000021,abt-3,F55G11.9,Live,pseudogene,100.551098488701,1.72670044290691,0.008149934997733059,75.0479258011321,13.8412634144221,51.074766138718395,165.871486647361,151.238478697998,146.232670232572,pseudogene,pseudogene
1,WBGene00000026,abu-3,F31A3.1,Live,pseudogene,1.91701974849604,4.89556874210917,0.203609795159816,0.0,0.0,0.0,0.0,9.33570856160482,2.1664099293714396,pseudogene,pseudogene
2,WBGene00000191,arl-7,F20D1.5,Live,pseudogene,29.840343156983103,0.6798632751491099,0.574700525335425,42.981993867921105,4.844442195047719,20.9896299200213,12.337548593605302,44.811401095703204,53.077043269600296,pseudogene,pseudogene
3,WBGene00000374,cyp-31A1,C01F6.3,Live,pseudogene,183.161295643014,-0.0221949873904695,0.9676077471090659,154.87162869870002,229.76497267940601,168.616693690838,213.850842289159,186.714171232096,145.149465267886,pseudogene,pseudogene
4,WBGene00000642,col-66,F15D3.3,Live,pseudogene,24.2437748691076,2.19520986293969,0.07046404474196201,17.0563467729846,8.99682121937434,0.0,45.2376781765529,37.342834246419294,36.8289687993145,pseudogene,pseudogene
5,WBGene00000709,col-136,Y51H4A.28,Live,pseudogene,6.48783957693259,1.72918759254942,0.459600246428147,6.14028483827445,0.0,2.7986173226695,0.0,22.405700547851602,7.58243475280004,pseudogene,pseudogene
6,WBGene00000801,cars-2,Y23H5A.1,Live,pseudogene,172.523507261796,-0.38193770105040503,0.5021628426374249,167.834452246168,220.076088289311,198.002175578867,239.896778208993,106.427077602295,102.90447164514299,pseudogene,pseudogene
7,WBGene00001091,drh-2,C01B10.1,Live,pseudogene,1427.0509716049403,1.6017669252442601,2.76125130427132e-06,900.5751096135859,539.8092731624611,681.463318070024,2852.71540258808,1925.0231054029102,1662.71962079258,pseudogene,pseudogene
8,WBGene00001111,duo-2,F29C4.5,Live,pseudogene,6.29166033333702,-1.3808208345083999,0.459647412594091,6.8225387091938305,8.99682121937434,11.8941236213454,1.37083873262281,0.0,8.665639717485758,pseudogene,pseudogene
9,WBGene00001605,gln-4,T25C8.3,Live,pseudogene,123.961327856755,1.95309116256026,6.30925164594446e-07,51.8512941898731,42.2158534139873,58.7709637760596,156.275615519001,194.18273808138,240.47150216023,pseudogene,pseudogene
10,WBGene00001706,grd-17,Y102A5C.34,Live,pseudogene,0.409007282884756,2.7478357287834903,,0.0,0.0,0.0,1.37083873262281,0.0,1.0832049646857198,pseudogene,pseudogene
